year,city,price_per_sqft
2021,KING COUNTY,448.9162560934498
2022,KING COUNTY,500.28670419411685
2023,KING COUNTY,499.7800600011963
2000,KIRKLAND,154.02699586245086
2001,KIRKLAND,167.70457895630156
2002,KIRKLAND,175.60747636081646
2003,KIRKLAND,190.7075959853299
2004,KIRKLAND,212.2133736641371
2005,KIRKLAND,240.37644006551278
2006,KIRKLAND,293.87396020848246
2007,KIRKLAND,349.0566712869615
2008,KIRKLAND,340.350541755747
2009,KIRKLAND,292.65695457729515
2010,KIRKLAND,291.3482258426437
2011,KIRKLAND,267.9601851208848
2012,KIRKLAND,263.4582145188666
2013,KIRKLAND,295.67749196482606
2014,KIRKLAND,321.9326774317849
2015,KIRKLAND,359.98788263337184
2016,KIRKLAND,391.3842627801799
2017,KIRKLAND,477.7558252768998
2018,KIRKLAND,563.1687268069838
2019,KIRKLAND,548.5248738240488
2020,KIRKLAND,590.521698726794
2021,KIRKLAND,758.5829126054596
2022,KIRKLAND,887.1236279993897
2023,KIRKLAND,837.5889337916808
2000,LAKE FOREST PARK,139.58236214396504
2001,LAKE FOREST PARK,147.45554226190927
2002,LAKE FOREST PARK,154.14195104019444
2003,LAKE FOREST PARK,166.30253239979436
2004,LAKE FOREST PARK,183.60736822388878
2005,LAKE FOREST PARK,201.30469033727525
2006,LAKE FOREST PARK,236.75269113123215
2007,LAKE FOREST PARK,257.237556147498
2008,LAKE FOREST PARK,267.44878780870283
2009,LAKE FOREST PARK,228.38974545489327
2010,LAKE FOREST PARK,223.0323646502446
2011,LAKE FOREST PARK,178.6192756239574
2012,LAKE FOREST PARK,185.58636724268268
2013,LAKE FOREST PARK,218.50838289658705
2014,LAKE FOREST PARK,242.8104306757744
2015,LAKE FOREST PARK,265.7011251946574
2016,LAKE FOREST PARK,290.3792983309909
2017,LAKE FOREST PARK,335.55077543791157
2018,LAKE FOREST PARK,371.95161323033653
2019,LAKE FOREST PARK,345.71537529273473
2020,LAKE FOREST PARK,395.9181537312659
2021,LAKE FOREST PARK,479.6376571155557
2022,LAKE FOREST PARK,519.4642337856732
2023,LAKE FOREST PARK,510.861878848589
2000,MAPLE VALLEY,118.45748596441416
2001,MAPLE VALLEY,126.14206739741874
2002,MAPLE VALLEY,125.99541879115687
2003,MAPLE VALLEY,129.8409764356261
2004,MAPLE VALLEY,138.7620929558009
2005,MAPLE VALLEY,160.53882514934037
2006,MAPLE VALLEY,178.08660889231268
2007,MAPLE VALLEY,188.77101042340868
2008,MAPLE VALLEY,175.3232582529438
2009,MAPLE VALLEY,154.1742742786419
2010,MAPLE VALLEY,146.97699231440362
2011,MAPLE VALLEY,133.73920311406383
2012,MAPLE VALLEY,133.70573165012195
2013,MAPLE VALLEY,148.56952469176693
2014,MAPLE VALLEY,163.5231534204461
2015,MAPLE VALLEY,177.4655157526091
2016,MAPLE VALLEY,196.8213249332566
2017,MAPLE VALLEY,216.84580122715428
2018,MAPLE VALLEY,234.76730313676643
2019,MAPLE VALLEY,241.14278752390823
2020,MAPLE VALLEY,264.8570538103833
2021,MAPLE VALLEY,332.25106943160085
2022,MAPLE VALLEY,390.18651358978616
2023,MAPLE VALLEY,387.55397862385485
2000,MEDINA,322.28175563572614
2001,MEDINA,326.636558822677
2002,MEDINA,290.71598567222793
2003,MEDINA,300.8116158486233
2004,MEDINA,374.62831666580786
2005,MEDINA,552.6156921378802
2006,MEDINA,529.7218188360947
2007,MEDINA,876.7329116005517
2008,MEDINA,753.5429159252875
2009,MEDINA,623.5185834849788
2010,MEDINA,490.76953131741124
2011,MEDINA,578.7586223846112
2012,MEDINA,570.5063693768464
2013,MEDINA,733.254297207785
2014,MEDINA,745.2558568710912
2015,MEDINA,897.2344830050766
2016,MEDINA,860.2294289372637
2017,MEDINA,1141.7323419188426
2018,MEDINA,1230.3686586545753
2019,MEDINA,1463.9964361161838
2020,MEDINA,1749.0046344365253
2021,MEDINA,1717.4773148895051
2022,MEDINA,2171.7018127501724
2023,MEDINA,1623.2895790605248
2000,MERCER ISLAND,241.3493431592074
2001,MERCER ISLAND,264.5980524947954
2002,MERCER ISLAND,265.4236641221585
2003,MERCER ISLAND,261.81575779646886
2004,MERCER ISLAND,310.53657106633807
2005,MERCER ISLAND,359.0084784351066
2006,MERCER ISLAND,420.8675046240512
2007,MERCER ISLAND,430.5755171826265
2008,MERCER ISLAND,472.0308595398032
2009,MERCER ISLAND,394.15466674362074
2010,MERCER ISLAND,435.58295776479963
2011,MERCER ISLAND,378.6961677085783
2012,MERCER ISLAND,393.40533200825234
2013,MERCER ISLAND,399.2981890684977
2014,MERCER ISLAND,465.243086524704
2015,MERCER ISLAND,507.90004126140127
2016,MERCER ISLAND,564.4016623098984
2017,MERCER ISLAND,641.0887631157176
2018,MERCER ISLAND,772.5596705189906
2019,MERCER ISLAND,739.7662779808447
2020,MERCER ISLAND,795.0591414978126
2021,MERCER ISLAND,960.5342102796993
2022,MERCER ISLAND,1113.7468338896713
